Bound, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
1000000,45525,3380510.4,1.503213904E8,1.6636124E8,9.34336176E7,3.8090248E7
1000000,153677,1.40175232E7,1.756049888E8,1.670007728E8,9.81646144E7,4.21211536E7
1000000,86576,9228473.6,1.709251184E8,1.665549664E8,9.34516816E7,3.75782128E7
1000000,170895,1.42000656E7,1.755059664E8,1.711881648E8,9.90234304E7,4.22505712E7
1000000,82026,9139328.0,1.714110384E8,1.665045536E8,9.58239712E7,3.58299872E7
1000000,154146,1.72080944E7,1.758191632E8,1.688422976E8,9.72420608E7,4.20535552E7
1000000,98906,9247596.8,1.702687792E8,1.663393376E8,9.34176528E7,3.7586824E7
1000000,164491,1.38458576E7,1.755552896E8,1.71307496E8,9.84481552E7,4.21338672E7
1000000,87441,9117632.0,1.710789104E8,1.664412016E8,9.34034128E7,3.75864208E7
1000000,42891,4534014.4,1.663613792E8,1.663567232E8,9.34085664E7,3.76134256E7
1000000,115389,9119795.2,1.71002208E8,1.666366656E8,9.34193696E7,3.76087312E7
1000000,150718,1.37403712E7,1.738586256E8,1.669919952E8,9.83435232E7,3.76244656E7
1000000,101295,9328336.0,1.709498336E8,1.6639688E8,9.34146224E7,3.76124592E7
1000000,101982,9290662.4,1.709861968E8,1.66413864E8,9.34127888E7,3.76149104E7
1000000,209458,1.74273744E7,1.764803008E8,1.710872544E8,9.80037632E7,4.2103552E7
1000000,128134,1.26965872E7,1.710194768E8,1.664225088E8,9.79530128E7,3.76126912E7
1000000,83345,9106924.8,1.709653904E8,1.66424336E8,9.34053312E7,3.7592912E7
1000000,119652,9055059.2,1.709720048E8,1.664280992E8,9.40165184E7,3.7611704E7
1000000,63005,4563844.8,1.714389936E8,1.661716496E8,9.53606192E7,3.54751472E7
1000000,63061,4540520.0,1.708800528E8,1.664105184E8,9.33761056E7,3.761248E7
1000000,186053,1.41376128E7,1.671214288E8,1.631322528E8,8.94802816E7,2.53655536E7
1000000,158768,1.35724896E7,1.744248128E8,1.69457056E8,9.77111008E7,4.21155904E7
1000000,84732,9077657.6,1.707386112E8,1.663949328E8,9.34100656E7,3.76059872E7
1000000,190483,1.4081544E7,1.75586064E8,1.710982368E8,9.80158912E7,4.2109976E7
1000000,139945,1.37104992E7,1.710233856E8,1.665385808E8,9.7947608E7,3.75873136E7
1000000,91747,9075072.0,1.625136928E8,1.58260976E8,8.51632208E7,2.08242144E7
1000000,221809,1.82835712E7,1.752963888E8,1.710547024E8,9.80097152E7,4.2104184E7
1000000,105729,1.27434608E7,1.710369056E8,1.66409592E8,9.55126528E7,3.80838048E7
1000000,139421,1.2794736E7,1.713025808E8,1.6704804E8,9.79670768E7,3.75567744E7
1000000,162827,1.3828064E7,1.755856352E8,1.713450416E8,9.82744352E7,4.20768416E7
1000000,65362,8200932.8,1.710088752E8,1.66439352E8,9.33716832E7,3.76103376E7
1000000,103439,9291369.6,1.711469232E8,1.663907056E8,9.34136752E7,3.76121312E7
1000000,60074,4563902.4,1.70966552E8,1.664271792E8,9.54810768E7,3.55143232E7
1000000,37165,4563652.8,1.663619056E8,1.652143184E8,9.33287168E7,3.754672E7
1000000,68915,8157328.0,1.705886E8,1.663572864E8,9.34098368E7,3.76117488E7
1000000,202045,1.75452368E7,1.754744912E8,1.711121968E8,9.79697568E7,4.21016736E7
1000000,42545,4559926.4,1.663466016E8,1.663605488E8,9.09721616E7,3.65067152E7
1000000,194026,1.56004016E7,1.752784352E8,1.710784112E8,9.83983936E7,4.2102464E7
1000000,105517,9335764.8,1.710121104E8,1.66433592E8,9.54766016E7,3.80824688E7
1000000,180572,1.72753632E7,1.758403904E8,1.710600768E8,9.84378112E7,4.21037328E7
1000000,148868,1.38042656E7,1.671398064E8,1.580495568E8,8.55438816E7,2.08220736E7
1000000,246253,2.02379232E7,1.696292256E8,1.629685152E8,9.28747408E7,2.53634768E7
1000000,67617,8180297.6,1.70897416E8,1.6641312E8,9.55089568E7,3.54905696E7
1000000,187345,1.7434544E7,1.684753712E8,1.634638784E8,8.95233824E7,2.53668384E7
1000000,221824,1.83317424E7,1.768793568E8,1.717226384E8,9.8027648E7,4.21167568E7
1000000,195018,1.57720976E7,1.756386688E8,1.710958E8,9.84242384E7,4.20775584E7
