Bound, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
1000000,172697,1.415579024E8,1.644000384E8,9.81270432E7,4.11240064E7
1000000,78943,1.689013072E8,1.64320576E8,9.2281824E7,3.74489248E7
1000000,189575,1.741446576E8,1.688765792E8,9.6916704E7,4.23021024E7
1000000,44848,1.6507336E8,1.64332696E8,9.23211408E7,3.77127584E7
1000000,40866,1.650538432E8,1.642558352E8,9.2379632E7,3.77356064E7
1000000,202019,1.743798688E8,1.6892768E8,9.70332608E7,4.23002976E7
1000000,112077,1.69771024E8,1.688261824E8,9.6865792E7,3.74310656E7
1000000,181813,1.74227888E8,1.688887312E8,9.75882528E7,4.23033952E7
1000000,25615,1.650106288E8,1.642558864E8,9.23160208E7,3.74392784E7
1000000,175356,1.742081376E8,1.688789888E8,9.68670832E7,4.228196E7
1000000,6568,1.649881392E8,1.6424436E8,9.23422368E7,3.74259296E7
1000000,241391,1.751864352E8,1.745235328E8,9.90264928E7,4.2233424E7
1000000,34596,1.6500292E8,1.641974496E8,9.23056368E7,3.78050016E7
1000000,87988,1.696204352E8,1.643015888E8,9.23385408E7,3.74261552E7
1000000,66586,1.650967648E8,1.642474448E8,9.23045824E7,3.78040656E7
1000000,208828,1.746425104E8,1.696251328E8,9.68729344E7,4.23016256E7
1000000,130792,1.698440448E8,1.69282856E8,9.69923776E7,3.74494528E7
1000000,34779,1.651522736E8,1.643086272E8,9.23076304E7,3.78101552E7
1000000,45018,1.651094272E8,1.642560352E8,9.23195104E7,3.77078832E7
1000000,40096,1.56595968E8,1.556296368E8,8.37964288E7,2.09967248E7
1000000,147401,1.7008036E8,1.6882972E8,9.68620816E7,4.02616336E7
1000000,180298,1.657156976E8,1.6107952E8,8.84103088E7,2.55028624E7
1000000,216084,1.751008496E8,1.693236688E8,9.68800752E7,4.23025408E7
1000000,136592,1.702217696E8,1.688677728E8,9.68312128E7,4.1944152E7
1000000,21158,1.650003808E8,1.642312992E8,9.23331456E7,3.74441632E7
1000000,182561,1.739536352E8,1.688115728E8,9.75806896E7,4.23008224E7
1000000,95082,1.69697944E8,1.64307544E8,9.67786672E7,3.74427904E7
1000000,145094,1.696288752E8,1.694830704E8,9.71580272E7,4.16365392E7
1000000,168988,1.740802352E8,1.688812848E8,9.83823808E7,4.228556E7
1000000,175872,1.747965136E8,1.691747408E8,9.68701104E7,4.23079664E7
1000000,234651,1.752156688E8,1.734417008E8,9.78461456E7,4.22269184E7
1000000,32744,1.65140736E8,1.64269736E8,9.2302992E7,3.78112416E7
1000000,185787,1.664982112E8,1.609363824E8,8.86397008E7,2.55030592E7
1000000,199401,1.666664512E8,1.603285472E8,8.9019648E7,2.5503328E7
1000000,66170,1.649485072E8,1.642143824E8,9.23332032E7,3.77203824E7
1000000,5942,1.650963072E8,1.642287984E8,9.23393856E7,3.29482288E7
1000000,80111,1.602762512E8,1.556836256E8,8.42356048E7,2.06560528E7
1000000,131097,1.69538672E8,1.687980128E8,9.70056864E7,3.7450104E7
1000000,238152,1.74162392E8,1.727757328E8,9.69423632E7,4.21594736E7
1000000,93106,1.688507296E8,1.641874112E8,9.23315632E7,3.74447536E7
