Problem Size, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
50000,777,3.2,12.4,6.4,0.0,1.4
50000,5053,6.4,3.0,1.8,9.4,3.2
50000,5987,6.2,3.2,3.2,9.4,0.0
50000,584,9.6,3.2,6.4,3.0,0.0
50000,5373,9.2,0.0,0.8,3.2,6.2
50000,2978,3.0,6.4,3.2,0.0,9.6
50000,2310,12.2,10.0,3.6,3.2,3.2
50000,3600,6.4,6.2,3.0,6.2,3.0
50000,3172,6.4,6.4,3.2,3.0,3.0
50000,42,9.4,15.8,3.0,1.2,0.0
50000,5799,6.2,0.0,0.0,7.0,6.4
50000,4542,9.4,9.2,12.8,12.4,12.2
50000,3716,6.2,3.2,6.4,2.2,6.2
50000,2378,8.2,6.2,9.4,9.2,6.2
50000,4688,6.2,4.6,0.0,3.2,0.0
50000,4519,9.6,10.8,3.8,3.2,3.2
50000,3335,7.2,3.2,0.0,6.0,3.8
50000,1310,3.0,6.4,0.0,7.0,0.0
50000,3177,15.8,9.6,12.4,3.2,9.8
50000,5558,16.0,26.0,9.4,12.4,9.6
50000,5446,9.4,4.6,9.6,3.2,0.0
50000,2239,3.2,9.6,6.2,3.2,6.2
50000,4039,9.4,3.4,6.4,7.8,3.0
50000,4179,12.4,3.2,0.6,0.0,6.4
50000,3138,9.2,3.0,3.0,6.2,6.4
50000,5985,15.4,12.6,0.0,0.0,3.2
50000,1013,12.6,0.0,3.2,7.4,0.0
50000,1176,3.6,0.0,3.2,6.4,6.6
50000,6158,12.4,6.2,3.2,0.0,9.4
50000,5880,17.2,0.0,6.2,0.0,9.4
50000,2208,9.2,0.0,0.8,6.4,6.2
50000,175,6.0,0.0,3.2,6.0,9.4
50000,2524,6.2,3.2,6.0,10.0,4.0
50000,3232,0.0,0.8,3.0,0.0,0.0
50000,5240,6.4,0.0,0.0,3.2,6.2
50000,5674,6.4,9.4,6.4,0.0,4.0
50000,311,7.6,3.0,0.0,6.2,6.2
50000,1098,6.2,6.2,3.2,3.2,3.2
50000,430,6.2,9.4,3.2,6.4,6.0
50000,2410,9.6,6.2,0.0,3.8,3.0
50000,231,3.2,3.0,9.6,0.6,3.0
50000,3455,12.4,3.2,3.2,6.2,3.0
50000,861,9.2,3.2,0.0,0.0,10.0
50000,44,3.0,3.2,6.8,3.2,3.2
50000,584,9.4,6.4,0.0,0.0,3.2
50000,6025,12.4,3.8,3.0,3.2,3.0
50000,43,2.0,5.8,6.2,2.6,2.6
50000,1921,6.0,3.4,3.6,3.8,3.6
50000,3561,10.0,3.2,3.0,0.0,10.0
50000,1875,4.2,6.2,6.2,3.2,0.0
50000,3225,15.6,6.4,3.0,0.0,6.2
50000,5849,0.0,0.8,6.2,9.4,0.0
50000,1418,3.2,10.4,3.4,3.0,3.2
50000,6049,9.2,12.6,3.2,3.2,4.0
50000,5934,15.6,3.0,3.2,3.0,9.4
50000,2245,6.4,0.0,0.0,3.0,9.2
50000,3271,9.4,9.6,3.0,0.0,7.0
50000,5317,15.4,3.2,3.2,3.6,6.2
50000,5073,0.0,0.0,0.0,13.2,0.0
50000,6262,3.2,0.8,6.0,3.0,3.0
50000,5424,9.8,6.4,3.0,3.2,4.2
50000,1255,6.0,0.0,0.0,9.6,6.2
50000,2516,6.4,4.0,4.2,0.0,6.4
50000,881,3.2,6.2,3.2,0.0,3.2
50000,989,9.4,3.0,0.0,0.0,6.2
50000,5264,12.4,12.6,3.2,3.2,0.0
50000,145,0.8,3.4,3.2,0.0,0.0
50000,4146,3.0,0.0,6.8,3.4,3.2
50000,2676,3.2,3.0,3.2,12.6,0.0
50000,5577,6.2,6.2,4.0,6.4,3.2
50000,307,12.8,6.6,0.0,0.0,3.2
50000,1713,0.0,9.6,3.2,0.0,3.0
50000,5813,11.2,6.2,3.2,6.0,3.0
50000,4194,15.8,6.2,4.0,0.0,3.0
50000,1480,6.2,3.2,0.0,3.2,3.2
50000,886,6.2,14.6,0.0,3.0,0.0
50000,3131,9.2,9.4,0.8,0.0,3.0
