Problem Size, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
1000000,0,760.0,760.0,653.0,156.0
1000000,0,721.0,721.0,603.0,150.0
1000000,0,731.0,731.0,600.0,146.0
1000000,4,707.0,707.0,599.0,143.0
1000000,0,706.0,706.0,609.0,146.0
1000000,0,693.0,693.0,711.0,153.0
1000000,0,729.0,729.0,603.0,144.0
1000000,1,831.0,831.0,601.0,142.0
1000000,0,600.0,600.0,597.0,147.0
1000000,0,611.0,611.0,649.0,145.0
1000000,179,606.0,606.0,648.0,151.0
1000000,7,598.0,598.0,595.0,145.0
1000000,5,593.0,593.0,597.0,144.0
1000000,0,625.0,625.0,606.0,145.0
1000000,7,602.0,602.0,609.0,142.0
1000000,5,597.0,597.0,598.0,147.0
1000000,0,597.0,597.0,603.0,143.0
1000000,0,597.0,597.0,595.0,148.0
1000000,0,597.0,597.0,594.0,143.0
1000000,11,602.0,602.0,604.0,145.0
1000000,0,610.0,610.0,618.0,149.0
1000000,6,604.0,604.0,601.0,149.0
1000000,0,604.0,604.0,605.0,145.0
1000000,7,605.0,605.0,605.0,151.0
1000000,5,616.0,616.0,603.0,147.0
1000000,8,603.0,603.0,601.0,144.0
1000000,0,606.0,606.0,606.0,148.0
1000000,0,605.0,605.0,599.0,148.0
1000000,9,626.0,626.0,596.0,144.0
1000000,0,601.0,601.0,598.0,146.0
1000000,0,597.0,597.0,595.0,142.0
1000000,3,597.0,597.0,597.0,145.0
1000000,14,598.0,598.0,606.0,144.0
1000000,0,600.0,600.0,610.0,145.0
1000000,6,603.0,603.0,600.0,143.0
1000000,6,602.0,602.0,605.0,149.0
1000000,0,605.0,605.0,606.0,154.0
1000000,4,618.0,618.0,601.0,149.0
1000000,8,595.0,595.0,599.0,146.0
1000000,314,615.0,615.0,655.0,152.0
1000000,0,606.0,606.0,600.0,150.0
1000000,0,598.0,598.0,600.0,145.0
1000000,7,603.0,603.0,604.0,150.0
1000000,0,632.0,632.0,603.0,151.0
1000000,0,603.0,603.0,602.0,154.0
1000000,80,610.0,610.0,620.0,153.0
1000000,6,597.0,597.0,608.0,148.0
1000000,2338,753.0,753.0,737.0,164.0
1000000,0,610.0,610.0,599.0,151.0
1000000,9,593.0,593.0,624.0,144.0
500000,0,263.0,263.0,259.0,51.0
500000,0,259.0,259.0,257.0,52.0
500000,0,262.0,262.0,258.0,52.0
500000,0,260.0,260.0,366.0,63.0
500000,0,286.0,286.0,348.0,91.0
500000,2,269.0,269.0,257.0,58.0
500000,0,267.0,267.0,259.0,53.0
500000,554,381.0,381.0,315.0,57.0
500000,0,264.0,264.0,254.0,49.0
500000,0,326.0,326.0,326.0,73.0
500000,0,273.0,273.0,256.0,52.0
500000,0,316.0,316.0,298.0,56.0
500000,0,271.0,271.0,265.0,54.0
500000,2,280.0,280.0,261.0,51.0
500000,1,315.0,315.0,352.0,77.0
500000,0,263.0,263.0,256.0,52.0
500000,172,330.0,330.0,320.0,56.0
500000,20,282.0,282.0,273.0,51.0
500000,2,265.0,265.0,257.0,50.0
500000,2,259.0,259.0,335.0,64.0
500000,3,281.0,281.0,268.0,77.0
500000,0,264.0,264.0,261.0,53.0
500000,0,277.0,277.0,266.0,54.0
500000,0,262.0,262.0,257.0,53.0
500000,0,263.0,263.0,256.0,53.0
500000,0,277.0,277.0,270.0,53.0
500000,561,344.0,344.0,313.0,58.0
500000,75,330.0,330.0,311.0,59.0
500000,0,279.0,279.0,283.0,71.0
500000,0,264.0,264.0,254.0,53.0
500000,0,277.0,277.0,254.0,52.0
500000,3,278.0,278.0,359.0,102.0
500000,0,326.0,326.0,271.0,56.0
500000,0,263.0,263.0,295.0,66.0
500000,45,340.0,340.0,321.0,59.0
500000,0,270.0,270.0,266.0,58.0
500000,0,266.0,266.0,259.0,52.0
500000,0,328.0,328.0,315.0,60.0
500000,0,264.0,264.0,256.0,54.0
500000,0,331.0,331.0,310.0,55.0
500000,0,262.0,262.0,257.0,52.0
500000,2,265.0,265.0,258.0,50.0
500000,16,273.0,273.0,266.0,54.0
500000,1,264.0,264.0,257.0,52.0
500000,0,261.0,261.0,255.0,52.0
500000,4,264.0,264.0,254.0,50.0
500000,0,311.0,311.0,298.0,54.0
500000,1,264.0,264.0,256.0,57.0
500000,0,265.0,265.0,259.0,54.0
500000,0,262.0,262.0,264.0,57.0
250000,0,85.0,85.0,85.0,21.0
250000,0,88.0,88.0,83.0,22.0
250000,1,86.0,86.0,84.0,22.0
250000,122,106.0,106.0,105.0,23.0
250000,0,87.0,87.0,84.0,22.0
250000,0,106.0,106.0,103.0,22.0
250000,0,87.0,87.0,84.0,23.0
250000,0,86.0,86.0,84.0,21.0
250000,1,86.0,86.0,85.0,22.0
250000,0,87.0,87.0,84.0,22.0
250000,0,104.0,104.0,104.0,21.0
250000,0,89.0,89.0,83.0,22.0
250000,0,88.0,88.0,83.0,21.0
250000,0,87.0,87.0,84.0,22.0
250000,0,87.0,87.0,84.0,21.0
250000,0,88.0,88.0,84.0,21.0
250000,57,105.0,105.0,119.0,23.0
250000,0,85.0,85.0,85.0,21.0
250000,1,87.0,87.0,83.0,22.0
250000,7,107.0,107.0,106.0,23.0
250000,0,87.0,87.0,84.0,23.0
250000,1,87.0,87.0,85.0,22.0
250000,0,87.0,87.0,82.0,23.0
250000,0,84.0,84.0,86.0,21.0
250000,0,87.0,87.0,86.0,22.0
250000,36,105.0,105.0,104.0,21.0
250000,213,104.0,104.0,103.0,22.0
250000,1,100.0,100.0,102.0,22.0
250000,0,100.0,100.0,98.0,22.0
250000,0,87.0,87.0,87.0,21.0
250000,0,85.0,85.0,87.0,21.0
250000,0,86.0,86.0,83.0,21.0
250000,1,89.0,89.0,86.0,23.0
250000,0,102.0,102.0,104.0,25.0
250000,1,88.0,88.0,86.0,21.0
250000,0,106.0,106.0,85.0,22.0
250000,0,88.0,88.0,86.0,21.0
250000,0,89.0,89.0,87.0,21.0
250000,4,98.0,98.0,100.0,22.0
250000,1,86.0,86.0,84.0,22.0
250000,0,87.0,87.0,87.0,20.0
250000,1,87.0,87.0,85.0,23.0
250000,0,87.0,87.0,90.0,21.0
250000,0,86.0,86.0,86.0,22.0
250000,0,91.0,91.0,86.0,22.0
250000,0,87.0,87.0,86.0,20.0
250000,0,86.0,86.0,85.0,22.0
250000,0,89.0,89.0,88.0,24.0
250000,0,91.0,91.0,86.0,22.0
250000,0,88.0,88.0,87.0,21.0
100000,0,23.0,23.0,18.0,9.0
100000,0,26.0,26.0,19.0,8.0
100000,0,24.0,24.0,25.0,10.0
100000,1,18.0,18.0,18.0,8.0
100000,0,28.0,28.0,20.0,9.0
100000,0,32.0,32.0,22.0,8.0
100000,0,24.0,24.0,22.0,9.0
100000,0,20.0,20.0,22.0,8.0
100000,0,18.0,18.0,18.0,8.0
100000,0,29.0,29.0,19.0,8.0
100000,0,26.0,26.0,22.0,10.0
100000,6,24.0,24.0,19.0,9.0
100000,0,25.0,25.0,22.0,8.0
100000,0,25.0,25.0,23.0,9.0
100000,0,24.0,24.0,19.0,8.0
100000,0,22.0,22.0,17.0,8.0
100000,0,19.0,19.0,34.0,14.0
100000,1,24.0,24.0,20.0,8.0
100000,1,23.0,23.0,18.0,8.0
100000,0,23.0,23.0,17.0,8.0
100000,0,26.0,26.0,23.0,9.0
100000,0,19.0,19.0,17.0,8.0
100000,1,29.0,29.0,20.0,8.0
100000,1,26.0,26.0,24.0,10.0
100000,0,20.0,20.0,17.0,8.0
100000,0,21.0,21.0,18.0,8.0
100000,3,24.0,24.0,24.0,9.0
100000,0,20.0,20.0,16.0,8.0
100000,0,24.0,24.0,18.0,8.0
100000,0,18.0,18.0,20.0,9.0
100000,0,20.0,20.0,17.0,7.0
100000,2,31.0,31.0,19.0,9.0
100000,0,21.0,21.0,19.0,9.0
100000,0,20.0,20.0,17.0,8.0
100000,0,30.0,30.0,20.0,9.0
100000,0,19.0,19.0,22.0,9.0
100000,10,22.0,22.0,18.0,8.0
100000,0,25.0,25.0,19.0,10.0
100000,0,25.0,25.0,20.0,8.0
100000,0,23.0,23.0,16.0,8.0
100000,0,27.0,27.0,19.0,8.0
100000,0,28.0,28.0,23.0,9.0
100000,0,24.0,24.0,19.0,8.0
100000,0,23.0,23.0,18.0,8.0
100000,0,18.0,18.0,22.0,9.0
100000,0,23.0,23.0,19.0,9.0
100000,0,24.0,24.0,19.0,8.0
100000,0,21.0,21.0,17.0,8.0
100000,0,25.0,25.0,17.0,8.0
100000,0,24.0,24.0,24.0,9.0
